"Object Count","Layer Name","Object Name","Object ID","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"93","centres","","1f9457b9-eb40-4227-93a6-082ccc398448","point","15787.064774,18902.456559,0.000000","","","",""
"94","centres","","202effbd-9e7f-42fe-a507-586df3f2a3da","point","17296.606618,20876.683803,0.000000","","","",""
"95","centres","","2056aae4-1854-49e9-8044-cabc07ff35f7","point","17625.227121,21040.006200,0.000000","","","",""
"96","centres","","205850b3-d9bf-423c-a159-4fc3c78a0f33","point","16228.239377,19468.236741,0.000000","","","",""
"97","centres","","205c9e12-c531-4e98-a76a-9ccdfc8c6de2","point","17798.024436,20108.290322,0.000000","","","",""
"98","centres","","20a01cba-9ab7-4c8f-9b05-dd51dcafc225","point","14942.956543,21271.505808,0.000000","","","",""
"99","centres","","2147571b-0c28-45bb-9a71-075fed8eab54","point","16180.062800,19530.366153,0.000000","","","",""
"100","centres","","2244da08-57dd-4919-90af-b9c6a774ccd7","point","16216.089356,19874.704810,0.000000","","","",""
"101","centres","","22ad7023-ef83-4b49-be24-9de7eba4a22f","point","18291.958296,20937.479281,0.000000","","","",""
"102","centres","","230743ed-91fb-4e1c-8d91-6733c6b62737","point","15979.788085,19434.382593,0.000000","","","",""
"103","centres","","23bdfdb4-4557-4712-b232-65b6fe00678e","point","14921.337281,21594.483469,0.000000","","","",""
"104","centres","","246ed757-2236-4051-b8d1-2c0882a2667d","point","17476.043412,20478.293634,0.000000","","","",""
"105","centres","","24b86bf1-bfa6-4a2b-979d-086135acfd88","point","18862.490583,21419.792351,0.000000","","","",""
"106","centres","","24da89de-b3af-4036-b76c-13969c82e9c1","point","16126.876456,18997.931386,0.000000","","","",""
"107","centres","","24fc1966-0624-43a0-84e8-9fbe9d71fc23","point","15249.627143,21022.224175,0.000000","","","",""
"108","centres","","256473bb-1389-4c99-9877-5e016e2e1234","point","15514.628677,20220.933953,0.000000","","","",""
"109","centres","","25b63b88-0f88-4f18-85b1-14d8638f0db5","point","17501.870746,20308.101608,0.000000","","","",""
"110","centres","","25cbc642-d58a-437e-ab42-77b9291cd4cf","point","14781.066810,21266.151584,0.000000","","","",""
"111","centres","","26f8994c-01cd-4ac6-9292-b984033bafc8","point","18148.813198,20865.569342,0.000000","","","",""
"112","centres","","271e5e05-093b-4469-876c-b8b53ada22c3","point","14624.403387,21237.478926,0.000000","","","",""
"113","centres","","275b2df8-eaaa-4c38-9969-25007155dfce","point","16533.130804,21479.229399,0.000000","","","",""
"114","centres","","285dabfb-e2bf-4de6-9152-44d05637653e","point","17584.094931,20406.363261,0.000000","","","",""
"115","centres","","286b75c3-14b7-4726-ab59-1edca50b3eff","point","15434.804404,21368.310904,0.000000","","","",""
"116","centres","","287ec6d0-1d05-441c-8754-f134f8dacb73","point","17590.845800,21183.164198,0.000000","","","",""
"117","centres","","29bb2e04-8e63-446a-b7f7-b826434b803a","point","16834.100259,19692.602960,0.000000","","","",""
"118","centres","","29c7ccdb-5079-490e-b380-58193a854bbb","point","16341.450480,19255.044549,0.000000","","","",""
"119","centres","","29f35266-c6ee-4379-bace-6bedcc6c5441","point","14912.963204,21161.906218,0.000000","","","",""
"120","centres","","2a2ae315-9245-4ffc-8326-48cea467dffb","point","17258.138795,20356.475026,0.000000","","","",""
"121","centres","","2ac0b81a-60bc-44b9-9787-6e51c38323e4","point","15204.345608,20737.146057,0.000000","","","",""
"122","centres","","2b38fdf4-dbb9-46c4-a863-0eaa5df125a2","point","15318.805071,20879.020086,0.000000","","","",""
"123","centres","","2c3994ae-d19a-4f28-9079-2a8df680f08a","point","18384.438565,21114.435855,0.000000","","","",""
"124","centres","","2c9de1c2-71ad-43ee-94e1-354e2eebc966","point","15162.545274,21484.469246,0.000000","","","",""
"125","centres","","2cc45908-eb8e-4a5e-9a5b-831392e381de","point","16626.126451,21261.406701,0.000000","","","",""
"126","centres","","2cdd7ff4-00f2-4f99-bb0c-d09f9f3ec81b","point","18869.460140,20884.018127,0.000000","","","",""
"127","centres","","2d4b7db2-e667-4f7a-90e6-27f685e8a825","point","17756.241181,21051.042323,0.000000","","","",""
"128","centres","","2d7a278b-a613-4436-96b5-7cda5ab5c6fd","point","15448.887551,20818.627097,0.000000","","","",""
"129","centres","","2de00187-0e7f-4d58-9bb5-2b2c3bb3a2c3","point","18978.923358,21133.856790,0.000000","","","",""
"130","centres","","2e87a80a-15f3-4c8a-9c78-fb1b90ed9bee","point","17498.274052,21599.306932,0.000000","","","",""
"131","centres","","2e8c03e7-ca72-477e-8dd5-87e686004050","point","15598.302370,20786.216326,0.000000","","","",""
"132","centres","","2eed0e4e-f190-46e5-98c9-b92dd6d2418e","point","17735.521088,21178.535936,0.000000","","","",""
"133","centres","","2ef6fb9d-5ffd-4ca0-96c1-e92f90a8184c","point","15119.106225,20832.966275,0.000000","","","",""
"134","centres","","2f41dc4d-0228-40bf-aa90-8583bf57f8b4","point","17581.069092,20638.119673,0.000000","","","",""
"135","centres","","2f6eb874-db4e-4837-991a-d562a85b6d70","point","16564.585990,19682.791756,0.000000","","","",""
"136","centres","","2f7423c7-b161-4b0b-9c29-c498253dac55","point","17253.771246,20676.130073,0.000000","","","",""
"137","centres","","2f76205d-df47-4897-a15f-aa8de099282e","point","18370.960593,20951.156258,0.000000","","","",""
